trucks_count 10
drones_count 4
customers 200
depot 0 0
Coordinate X         Coordinate Y         Dronable Demand
3643.5408452101374   6232.999488369925    1        2.1421589366055565  
-349.43591905876065  2431.018488163444    1        23.86124927299756   
-2449.1847774314706  3681.056986862403    1        1.0897320566459472  
2684.8064312327565   2715.90114741932     1        0.8017438306067817  
-1126.639363962321   3810.4849933297573   1        1.1749971827264436  
6537.284344516096    3298.7450617860386   1        1.5669374848240483  
-6785.727795129723   -3240.565900672055   1        1.6367948703444977  
3783.9074286950195   -3259.3842821120343  1        2.027382678252861   
4721.079783502861    -7206.804030961343   1        0.2681751922723429  
-6588.349275605603   -6505.8779185354215  1        0.9898500942892029  
-724.1887089549763   1668.1054672511755   1        0.22322197588580164 
-2690.480323609991   3049.6382464875005   1        0.38738287355791395 
2169.6321167934434   6586.107568809902    1        0.8670105519681202  
3982.473535396783    6308.916015834405    1        2.2439967088772335  
5608.9843661823425   3463.1145300861913   1        43.76246937120555   
4257.472663279978    -32.39518876111095   1        1.7275984728439815  
1815.1912104002995   3229.791908468526    1        2.0613761627032257  
-1907.7490418903387  4590.289758844911    1        1.2316545977454612  
-1300.3485769547515  -4532.573775336542   1        0.25397309527665    
461.74330862545156   -3541.2321746564567  1        1.0826863451370428  
7867.628048087426    4452.395132005294    1        2.2272725875106874  
-2146.751784617367   886.1324913042016    1        1.1791439907616217  
-1273.0011994730635  2557.004614089396    1        2.0999698459166924  
4046.05536824115     -6744.693523038242   1        0.9241085670481536  
-6470.469894377253   -2845.219090460998   1        29.196064965982643  
-2274.501562625976   -1637.7271128338546  1        0.47383885609357423 
-607.5975020147779   -349.0605929835589   1        1.2864333896512574  
-4785.476772826842   -5910.9560689605     1        0.0268977388820563  
-7638.850833496493   7711.557369950331    1        1.3306048505646406  
639.1306108907476    1939.8984223857335   1        0.4979664256150031  
-4429.303314639863   7040.81525210459     1        0.6051955360316232  
-1703.136683754979   -5393.912184075077   1        1.4426328135748057  
7902.630076820533    3079.0302260130698   1        0.8017756819288515  
-4913.538624425243   -4954.181252050294   1        2.186793359673466   
-5823.512471019858   456.9280043658592    1        1.4984480233376472  
-3867.352243273417   5291.436752600401    1        1.6995451888279136  
7095.289911793708    -3094.0809056140556  1        0.01900455848408836 
-6115.347054859933   2676.3749256645033   1        1.0857397592338909  
198.79125390771165   -2026.257432354502   1        0.9826131087666987  
6710.12347057329     3796.19256681372     1        2.1458197895805937  
5548.654963904057    -1455.5583132215747  1        2.254619943660658   
-2185.30536435458    7420.112248497597    1        2.1471683081129855  
2044.1577617845085   -6160.9196530934905  1        0.5688936746039236  
